timestamp,fecha,mes,dia_semana,dia_semana_num,hora,turno,AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,score_tangibles,score_fiabilidad,score_responsiveness,score_empatia,score_servqual_total,D_1,satisfaccion_nivel,NPS,nps_categoria,C_1,calidad_nivel,INFO,info_nivel,AÑOS,antiguedad_grupo,Giro,Puesto,Estado,Estado_limpio,region,poblacion_millones,pib_per_capita_miles,nivel_economico_estado,lat,long,region_simplificada,Giro_corto
2025-04-14 19:56:58,2025-04-14,4,Monday,0,19,Noche,3,4,3,3,4.0,4,3,4,4,5,5,4,3.5,3.33,3.67,4.5,3.75,9,Alto,8,Pasivo,4,Bueno,8,Bien informado,4,Establecido,Educación,Supervisor,Jalisco,Jalisco,Occidente,8.35,183.0,Medio,20.6595,-103.3494,Occidente,Educación
2025-04-15 10:13:09,2025-04-15,4,Tuesday,1,10,Mañana,4,4,3,3,4.0,3,3,3,4,4,4,4,4.0,3.33,3.0,4.0,3.58,8,Alto,10,Promotor,4,Bueno,8,Bien informado,1,Nuevo,Persona física,Dueño,Veracruz,Veracruz,Golfo,8.06,118.0,Bajo,19.1738,-96.1342,Sur,Persona física
2025-04-15 10:27:11,2025-04-15,4,Tuesday,1,10,Mañana,4,3,3,4,4.0,4,4,4,5,5,4,4,3.5,3.67,4.0,4.5,3.92,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,3,Establecido,Educación,Coordinador,Aguascalientes,Aguascalientes,Centro-Norte,1.43,198.0,Medio,21.8853,-102.2916,Centro,Educación
2025-04-15 10:27:49,2025-04-15,4,Tuesday,1,10,Mañana,4,4,3,3,4.0,4,3,3,4,4,3,4,4.0,3.33,3.33,3.75,3.6,7,Medio,8,Pasivo,3,Regular,7,Parcialmente informado,14,Veterano,Educación,Coordinador,Aguascalientes,Aguascalientes,Centro-Norte,1.43,198.0,Medio,21.8853,-102.2916,Centro,Educación
2025-04-15 10:28:50,2025-04-15,4,Tuesday,1,10,Mañana,5,3,4,4,4.0,3,4,4,3,4,4,3,4.0,4.0,3.67,3.5,3.79,8,Alto,8,Pasivo,5,Bueno,9,Bien informado,1,Nuevo,Educación,Asistente,Estado de México,Estado de México,Centro,16.99,114.0,Bajo,19.4969,-99.7233,Centro,Educación
2025-04-15 10:31:39,2025-04-15,4,Tuesday,1,10,Mañana,5,4,4,5,4.0,3,3,3,3,4,3,3,4.5,4.33,3.0,3.25,3.77,7,Medio,9,Promotor,3,Regular,7,Parcialmente informado,2,Nuevo,Persona física,Persona física,Veracruz,Veracruz,Golfo,8.06,118.0,Bajo,19.1738,-96.1342,Sur,Persona física
2025-04-15 10:33:09,2025-04-15,4,Tuesday,1,10,Mañana,4,4,3,4,3.0,4,3,3,4,3,3,4,4.0,3.33,3.33,3.5,3.54,7,Medio,8,Pasivo,3,Regular,7,Parcialmente informado,2,Nuevo,Empresa,Asistente,Baja California Norte,Baja California Norte,,,,,,,,Empresa
2025-04-15 10:33:58,2025-04-15,4,Tuesday,1,10,Mañana,4,4,3,5,3.0,4,3,4,4,4,4,4,4.0,3.67,3.67,4.0,3.84,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,1,Nuevo,Empresa,Persona física,Veracruz,Veracruz,Golfo,8.06,118.0,Bajo,19.1738,-96.1342,Sur,Empresa
2025-04-15 12:06:55,2025-04-15,4,Tuesday,1,12,Tarde,3,4,3,4,4.0,3,4,3,4,3,3,4,3.5,3.67,3.33,3.5,3.5,8,Alto,9,Promotor,3,Regular,8,Bien informado,1,Nuevo,Empresa,Asistente,Tabasco,Tabasco,Sureste,2.4,180.0,Medio,17.8409,-92.6189,Sureste,Empresa
2025-04-16 11:07:23,2025-04-16,4,Wednesday,2,11,Mañana,4,4,2,2,3.0,2,2,3,3,2,2,3,4.0,2.33,2.33,2.5,2.79,6,Medio,8,Pasivo,2,Deficiente,7,Parcialmente informado,1,Nuevo,Gubernamental,Coordinador,Aguascalientes,Aguascalientes,Centro-Norte,1.43,198.0,Medio,21.8853,-102.2916,Centro,Gubernamental
2025-04-21 14:39:08,2025-04-21,4,Monday,0,14,Tarde,3,4,4,4,3.0,3,3,4,4,5,4,4,3.5,3.67,3.33,4.25,3.69,8,Alto,10,Promotor,4,Bueno,8,Bien informado,4,Establecido,Educación,Coordinador,Ciudad de México,Ciudad de México,Centro,9.21,394.0,Alto,19.4326,-99.1332,Centro,Educación
2025-04-22 16:05:35,2025-04-22,4,Tuesday,1,16,Tarde,4,3,5,4,4.0,4,5,5,4,4,5,4,3.5,4.33,4.67,4.25,4.19,9,Alto,9,Promotor,5,Bueno,9,Bien informado,25,Veterano,Educación,Coordinador,Quintana Roo,Quintana Roo,Sureste,1.86,211.0,Alto,19.1817,-88.4791,Sureste,Educación
2025-04-23 09:33:51,2025-04-23,4,Wednesday,2,9,Mañana,4,4,4,4,3.0,3,4,3,4,3,3,4,4.0,3.67,3.33,3.5,3.62,7,Medio,10,Promotor,3,Regular,8,Bien informado,3,Establecido,Educación,Dueño,Coahuila,Coahuila,Norte,3.15,263.0,Alto,27.0587,-101.7068,Norte,Educación
2025-04-23 22:10:58,2025-04-23,4,Wednesday,2,22,Noche,4,3,3,4,4.0,3,3,3,3,4,4,3,3.5,3.67,3.0,3.5,3.42,7,Medio,8,Pasivo,3,Regular,8,Bien informado,1,Nuevo,Educación,Supervisor,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Educación
2025-04-23 22:32:56,2025-04-23,4,Wednesday,2,22,Noche,4,4,4,3,3.0,4,4,4,5,5,4,3,4.0,3.33,4.0,4.25,3.9,7,Medio,8,Pasivo,4,Bueno,8,Bien informado,2,Nuevo,Educación,Coordinador,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Educación
2025-04-23 22:34:39,2025-04-23,4,Wednesday,2,22,Noche,3,4,4,4,4.0,4,4,3,4,4,3,3,3.5,4.0,3.67,3.5,3.67,7,Medio,8,Pasivo,3,Regular,9,Bien informado,1,Nuevo,Empresa,Supervisor,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Empresa
2025-04-24 15:51:45,2025-04-24,4,Thursday,3,15,Tarde,2,3,3,4,4.0,3,3,3,3,4,4,3,2.5,3.67,3.0,3.5,3.17,7,Medio,8,Pasivo,3,Regular,8,Bien informado,6,Veterano,Educación,Coordinador,Michoacán,Michoacán,Occidente,4.75,107.0,Bajo,19.5665,-101.7068,Occidente,Educación
2025-04-27 09:28:31,2025-04-27,4,Sunday,6,9,Mañana,4,4,4,5,4.0,3,5,5,5,5,5,5,4.0,4.33,4.33,5.0,4.42,10,Alto,10,Promotor,5,Bueno,9,Bien informado,19,Veterano,Educación,Persona física,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Educación
2025-04-28 08:56:35,2025-04-28,4,Monday,0,8,Mañana,3,5,4,5,4.0,4,4,4,4,3,3,4,4.0,4.33,4.0,3.5,3.96,9,Alto,9,Promotor,5,Bueno,9,Bien informado,1,Nuevo,Educación,Coordinador,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Educación
2025-04-28 09:38:01,2025-04-28,4,Monday,0,9,Mañana,4,5,4,5,4.0,3,5,5,5,5,5,5,4.5,4.33,4.33,5.0,4.54,10,Alto,10,Promotor,5,Bueno,8,Bien informado,6,Veterano,Educación,Coordinador,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Educación
2025-04-28 14:10:38,2025-04-28,4,Monday,0,14,Tarde,4,4,5,4,5.0,4,5,4,5,4,4,5,4.0,4.67,4.33,4.5,4.38,9,Alto,9,Promotor,5,Bueno,8,Bien informado,4,Establecido,Gubernamental,Coordinador,Michoacán,Michoacán,Occidente,4.75,107.0,Bajo,19.5665,-101.7068,Occidente,Gubernamental
2025-04-29 14:45:44,2025-04-29,4,Tuesday,1,14,Tarde,4,4,5,5,5.0,3,5,5,5,5,5,5,4.0,5.0,4.33,5.0,4.58,10,Alto,10,Promotor,5,Bueno,9,Bien informado,1,Nuevo,Educación,Coordinador,Sonora,Sonora,Noroeste,2.94,219.0,Alto,29.2972,-110.3309,Norte,Educación
